<snd/rcv/drop>	<time>	<type of packet>	<seq>	<number of bytes>	<ack-number>	
rcv	6.938	S	123	0	0	
snd	7.94	SA	32	0	124	
rcv	9.941	SA	124	0	33	
rcv	13.943	D	0	20	0	
snd	13.944	A	0	0	0	
rcv	14.943	D	1	20	0	
snd	14.943	A	0	0	1	
rcv	15.944	D	3	20	0	
snd	15.944	A	0	0	3	
rcv	16.944	D	4	20	0	
snd	16.945	A	0	0	4	
rcv	17.945	D	2	20	0	
snd	17.945	A	0	0	2	
rcv	18.945	D	6	20	0	
snd	18.945	A	0	0	6	
rcv	21.947	D	9	20	0	
snd	21.947	A	0	0	9	
rcv	22.947	D	7	20	0	
snd	22.947	A	0	0	7	
rcv	23.947	D	11	20	0	
snd	23.948	A	0	0	11	
rcv	26.948	D	14	20	0	
snd	26.948	A	0	0	14	
rcv	27.949	D	12	20	0	
snd	27.949	A	0	0	12	
rcv	29.95	D	10	20	0	
snd	29.951	A	0	0	10	
rcv	31.951	D	15	20	0	
snd	31.952	A	0	0	15	
rcv	32.951	D	8	20	0	
snd	32.952	A	0	0	8	
rcv	33.951	D	13	20	0	
snd	33.952	A	0	0	13	
rcv	34.951	D	5	20	0	
snd	34.952	A	0	0	5	
rcv	37.953	D	18	20	0	
snd	37.953	A	0	0	18	
rcv	38.955	D	16	20	0	
snd	38.955	A	0	0	16	
rcv	40.956	D	20	20	0	
snd	40.956	A	0	0	20	
rcv	41.957	D	17	20	0	
snd	41.957	A	0	0	17	
rcv	43.958	D	24	20	0	
snd	43.958	A	0	0	24	
rcv	46.96	D	21	20	0	
snd	46.96	A	0	0	21	
rcv	49.961	D	23	20	0	
snd	49.961	A	0	0	23	
rcv	50.961	D	28	20	0	
snd	50.962	A	0	0	28	
rcv	51.963	D	26	20	0	
snd	51.963	A	0	0	26	
rcv	53.964	D	27	20	0	
snd	53.964	A	0	0	27	
rcv	60.967	D	22	20	0	
snd	60.968	A	0	0	22	
rcv	62.968	D	19	20	0	
snd	62.969	A	0	0	19	
rcv	63.969	D	30	20	0	
snd	63.969	A	0	0	30	
rcv	68.97	D	32	20	0	
snd	68.971	A	0	0	32	
rcv	69.97	D	33	20	0	
snd	69.971	A	0	0	33	
rcv	70.971	D	25	20	0	
snd	70.971	A	0	0	25	
rcv	71.972	D	31	20	0	
snd	71.972	A	0	0	31	
rcv	72.972	D	29	20	0	
snd	72.972	A	0	0	29	
rcv	75.973	F	0	0	0	
snd	75.973	FA	0	0	124	
snd	75.982	F	0	0	0	
rcv	77.975	FA	0	0	33	
Amount of ( original ) Data Received ( in bytes ) do not include retransmitted data : 680
Number of ( original ) Data Segments Received : 34
