<snd/rcv/drop>	<time>	<type of packet>	<seq>	<number of bytes>	<ack-number>	
snd	1.013	S	123	0	0	
rcv	2.015	SA	32	0	124	
snd	4.016	SA	124	0	33	
snd	8.018	D	0	20	0	
rcv	8.019	A	0	0	0	
snd	9.018	D	1	20	0	
rcv	9.018	A	0	0	1	
snd	10.019	D	3	20	0	
rcv	10.019	A	0	0	3	
snd	11.019	D	4	20	0	
rcv	11.02	A	0	0	4	
snd	12.019	D	2	20	0	
rcv	12.02	A	0	0	2	
snd	13.02	D	6	20	0	
rcv	13.02	A	0	0	6	
drop	14.021	D	7	20	0	
drop	15.021	D	8	20	0	
snd	16.021	D	9	20	0	
rcv	16.022	A	0	0	9	
snd	17.022	D	7	20	0	
rcv	17.022	A	0	0	7	
snd	18.022	D	11	20	0	
rcv	18.023	A	0	0	11	
drop	19.022	D	10	20	0	
drop	20.023	D	13	20	0	
snd	21.023	D	14	20	0	
rcv	21.024	A	0	0	14	
snd	22.023	D	12	20	0	
rcv	22.024	A	0	0	12	
drop	23.024	D	13	20	0	
snd	24.025	D	10	20	0	
rcv	24.026	A	0	0	10	
drop	25.026	D	13	20	0	
snd	26.026	D	15	20	0	
rcv	26.027	A	0	0	15	
snd	27.026	D	8	20	0	
rcv	27.027	A	0	0	8	
snd	28.026	D	13	20	0	
rcv	28.027	A	0	0	13	
snd	29.026	D	5	20	0	
rcv	29.027	A	0	0	5	
drop	31.027	D	16	20	0	
snd	32.027	D	18	20	0	
rcv	32.028	A	0	0	18	
snd	33.029	D	16	20	0	
rcv	33.03	A	0	0	16	
drop	34.03	D	21	20	0	
snd	35.031	D	20	20	0	
rcv	35.031	A	0	0	20	
snd	36.032	D	17	20	0	
rcv	36.032	A	0	0	17	
drop	37.033	D	23	20	0	
snd	38.033	D	24	20	0	
rcv	38.034	A	0	0	24	
drop	39.034	D	23	20	0	
drop	40.034	D	26	20	0	
snd	41.034	D	21	20	0	
rcv	41.035	A	0	0	21	
drop	42.035	D	28	20	0	
drop	43.036	D	26	20	0	
snd	44.036	D	23	20	0	
rcv	44.036	A	0	0	23	
snd	45.036	D	28	20	0	
rcv	45.037	A	0	0	28	
snd	46.038	D	26	20	0	
rcv	46.038	A	0	0	26	
drop	47.038	D	25	20	0	
snd	48.038	D	27	20	0	
rcv	48.039	A	0	0	27	
drop	49.04	D	19	20	0	
drop	50.04	D	25	20	0	
drop	51.04	D	22	20	0	
drop	52.041	D	19	20	0	
drop	53.042	D	25	20	0	
drop	54.042	D	19	20	0	
snd	55.042	D	22	20	0	
rcv	55.043	A	0	0	22	
drop	56.043	D	25	20	0	
snd	57.043	D	19	20	0	
rcv	57.044	A	0	0	19	
snd	58.044	D	30	20	0	
rcv	58.044	A	0	0	30	
drop	59.044	D	25	20	0	
drop	60.045	D	32	20	0	
drop	61.045	D	33	20	0	
drop	62.045	D	25	20	0	
snd	63.045	D	32	20	0	
rcv	63.046	A	0	0	32	
snd	64.045	D	33	20	0	
rcv	64.046	A	0	0	33	
snd	65.046	D	25	20	0	
rcv	65.046	A	0	0	25	
rcv	66.047	A	0	0	31	
snd	66.047	D	31	20	0	
snd	67.047	D	29	20	0	
rcv	67.047	A	0	0	29	
snd	70.047	F	0	0	0	
rcv	70.048	FA	0	0	124	
rcv	70.057	F	0	0	0	
snd	72.049	FA	0	0	33	
Amount(Original) Data Transfered(in bytes) : 661
Number of Data segments sent(excluding retransmissions) : 34
Number of (all) Packets Droped (by PLD Module) : 25
Number of Retransmitted segments : 25
Number of Duplicate Acknowledgements Received : 0
